obs_time_utc,name,city,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence,corridor_file
2026-07-23 11:00:00+00:00,TB Simatupang,Jabodetabek,32.0,73.0,773.0,338.0,0.5616438356164384,0.0,1.0,tt_tbsimatupang
2026-07-23 11:00:00+00:00,Jl. MH Thamrin,Jabodetabek,11.0,22.0,522.0,261.0,0.5,0.0,1.0,tt_thamrin
2026-07-23 12:00:00+00:00,Tol Jakarta-Cikampek,Jabodetabek,13.0,17.0,1484.0,1135.0,0.2352941176470588,0.0,0.981727,tt_bekasi
2026-07-23 12:00:00+00:00,Tol Jagorawi (Bogor),Jabodetabek,36.0,45.0,823.0,658.0,0.1999999999999999,0.0,1.0,tt_bogor
2026-07-23 12:00:00+00:00,BSD/Serpong,Jabodetabek,34.0,34.0,165.0,165.0,0.0,0.0,1.0,tt_bsd
2026-07-23 12:00:00+00:00,Cawang interchange,Jabodetabek,32.0,43.0,84.0,62.0,0.2558139534883721,0.0,1.0,tt_cawang
2026-07-23 12:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,26.0,31.0,2120.0,1778.0,0.1612903225806451,0.0,0.994845,tt_depok
2026-07-23 12:00:00+00:00,Jl. Gatot Subroto,Jabodetabek,6.0,46.0,392.0,51.0,0.8695652173913043,0.0,1.0,tt_gatsu
2026-07-23 12:00:00+00:00,Grogol,Jabodetabek,30.0,40.0,406.0,304.0,0.25,0.0,1.0,tt_grogol
2026-07-23 12:00:00+00:00,Tol Kebon Jeruk,Jabodetabek,22.0,36.0,1843.0,1126.0,0.3888888888888888,0.0,1.0,tt_kebonjeruk
2026-07-23 12:00:00+00:00,Kelapa Gading,Jabodetabek,19.0,29.0,1617.0,1059.0,0.3448275862068966,0.0,0.999754,tt_kelapagading
2026-07-23 12:00:00+00:00,Jl. HR Rasuna Said,Jabodetabek,13.0,20.0,336.0,218.0,0.35,0.0,1.0,tt_kuningan
2026-07-23 12:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,16.0,39.0,897.0,368.0,0.5897435897435898,0.0,1.0,tt_sudirman
2026-07-23 12:00:00+00:00,Tol Jakarta-Merak,Jabodetabek,40.0,47.0,231.0,197.0,0.1489361702127659,0.0,1.0,tt_tangerang
2026-07-23 12:00:00+00:00,TB Simatupang,Jabodetabek,53.0,71.0,466.0,348.0,0.2535211267605634,0.0,1.0,tt_tbsimatupang
2026-07-23 12:00:00+00:00,Jl. MH Thamrin,Jabodetabek,11.0,23.0,522.0,249.0,0.5217391304347826,0.0,1.0,tt_thamrin
2026-07-23 13:00:00+00:00,Tol Jakarta-Cikampek,Jabodetabek,18.0,18.0,1072.0,1072.0,0.0,0.0,1.0,tt_bekasi
2026-07-23 13:00:00+00:00,Tol Jagorawi (Bogor),Jabodetabek,45.0,45.0,658.0,658.0,0.0,0.0,1.0,tt_bogor
2026-07-23 13:00:00+00:00,BSD/Serpong,Jabodetabek,29.0,34.0,193.0,165.0,0.1470588235294118,0.0,1.0,tt_bsd
2026-07-23 13:00:00+00:00,Cawang interchange,Jabodetabek,43.0,43.0,62.0,62.0,0.0,0.0,1.0,tt_cawang
2026-07-23 13:00:00+00:00,Jl. Margonda (Depok),Jabodetabek,26.0,31.0,2120.0,1778.0,0.1612903225806451,0.0,0.993347,tt_depok
2026-07-23 13:00:00+00:00,Jl. Gatot Subroto,Jabodetabek,28.0,44.0,84.0,53.0,0.3636363636363636,0.0,1.0,tt_gatsu
2026-07-23 13:00:00+00:00,Grogol,Jabodetabek,34.0,40.0,358.0,304.0,0.15,0.0,0.997806,tt_grogol
2026-07-23 13:00:00+00:00,Tol Kebon Jeruk,Jabodetabek,24.0,36.0,1689.0,1126.0,0.3333333333333333,0.0,1.0,tt_kebonjeruk
2026-07-23 13:00:00+00:00,Kelapa Gading,Jabodetabek,23.0,29.0,1335.0,1059.0,0.2068965517241379,0.0,1.0,tt_kelapagading
2026-07-23 13:00:00+00:00,Jl. HR Rasuna Said,Jabodetabek,15.0,21.0,291.0,208.0,0.2857142857142857,0.0,1.0,tt_kuningan
2026-07-23 13:00:00+00:00,Jl. Sudirman (HI),Jabodetabek,26.0,38.0,552.0,377.0,0.3157894736842105,0.0,1.0,tt_sudirman
2026-07-23 13:00:00+00:00,Tol Jakarta-Merak,Jabodetabek,48.0,48.0,193.0,193.0,0.0,0.0,1.0,tt_tangerang
2026-07-23 13:00:00+00:00,TB Simatupang,Jabodetabek,72.0,72.0,343.0,343.0,0.0,0.0,1.0,tt_tbsimatupang
2026-07-23 13:00:00+00:00,Jl. MH Thamrin,Jabodetabek,8.0,22.0,718.0,261.0,0.6363636363636364,0.0,1.0,tt_thamrin
2026-07-23 14:00:00+00:00,Tol Jakarta-Cikampek,Jabodetabek,18.0,18.0,1072.0,1072.0,0.0,0.0,1.0,tt_bekasi
2026-07-23 14:00:00+00:00,Tol Jagorawi (Bogor),Jabodetabek,36.0,44.0,823.0,673.0,0.1818181818181817,0.0,1.0,tt_bogor
