station_id,name,obs_time_utc,lat,lon,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence,frc
tt_tambun,Jl. Raya Tambun (Bekasi),2026-09-07T03:26:13+00:00,-6.268,107.05,33,37,1028,916,0.1081,False,0.976258,FRC4
tt_cibitung,Jl. Raya Cibitung,2026-09-07T03:26:13+00:00,-6.245,107.095,23,23,1201,1201,0.0,False,1.0,FRC4
tt_fatmawati,Jl. RS Fatmawati,2026-09-07T03:26:13+00:00,-6.292,106.797,35,35,17,17,0.0,False,1.0,FRC1
tt_lebakbulus,Jl. Lebak Bulus,2026-09-07T03:26:13+00:00,-6.305,106.785,21,31,876,593,0.3226,False,1.0,FRC3
tt_kemang,Jl. Kemang Raya,2026-09-07T03:26:13+00:00,-6.26,106.815,21,28,1127,845,0.25,False,1.0,FRC3
tt_tendean,Jl. Kapt. Tendean,2026-09-07T03:26:13+00:00,-6.242,106.832,22,39,143,81,0.4359,False,1.0,FRC1
tt_mampang,Jl. Mampang Prapatan,2026-09-07T03:26:13+00:00,-6.248,106.828,28,35,1404,1123,0.2,False,1.0,FRC3
tt_ragunan,Jl. Ragunan (TMII),2026-09-07T03:26:13+00:00,-6.295,106.815,21,28,1127,845,0.25,False,1.0,FRC3
tt_lentengagung,Jl. Lenteng Agung,2026-09-07T03:26:13+00:00,-6.31,106.835,48,48,107,107,0.0,False,1.0,FRC2
tt_pondokindah,Jl. Pondok Indah,2026-09-07T03:26:13+00:00,-6.28,106.78,19,19,115,115,0.0,False,1.0,FRC3
tt_purikembangan,Jl. Puri Kembangan,2026-09-07T03:26:13+00:00,-6.205,106.73,77,77,307,307,0.0,False,1.0,FRC0
tt_kedoya,Jl. Kedoya Raya,2026-09-07T03:26:13+00:00,-6.195,106.755,21,28,1044,783,0.25,False,0.974009,FRC2
tt_pospengumben,Jl. Raya Pos Pengumben,2026-09-07T03:26:13+00:00,-6.225,106.73,25,28,1055,941,0.1071,False,0.97807,FRC3
tt_karawaci,Jl. Karawaci (Tangerang),2026-09-07T03:26:13+00:00,-6.22,106.61,26,31,354,297,0.1613,False,1.0,FRC2
tt_cipondoh,Jl. Cipondoh (Tangerang),2026-09-07T03:26:13+00:00,-6.195,106.68,24,34,1001,706,0.2941,False,0.999638,FRC2
tt_jorr_west,Tol JORR Barat,2026-09-07T03:26:13+00:00,-6.235,106.695,24,30,1969,1575,0.2,False,0.986846,FRC2
tt_cibinong,Jl. Raya Cibinong,2026-09-07T03:26:13+00:00,-6.48,106.85,44,44,1617,1617,0.0,False,1.0,FRC1
tt_cimanggis,Jl. Raya Cimanggis,2026-09-07T03:26:13+00:00,-6.37,106.885,25,25,444,444,0.0,False,1.0,FRC2
tt_cilodong,Jl. Raya Cilodong,2026-09-07T03:26:13+00:00,-6.43,106.84,29,29,2116,2116,0.0,False,1.0,FRC4
tt_gadingserpong,Jl. Gading Serpong,2026-09-07T03:26:13+00:00,-6.245,106.64,36,36,96,96,0.0,False,1.0,FRC4
tt_merak_toll_e,Tol Jkt-Merak (Timur),2026-09-07T03:26:13+00:00,-6.24,106.59,25,25,435,435,0.0,False,1.0,FRC4
tt_sedyatmo_toll,Tol Sedyatmo (Bandara),2026-09-07T03:26:13+00:00,-6.103,106.722,76,76,303,303,0.0,False,1.0,FRC0
tt_yossudarso,Jl. Yos Sudarso (Sunter-Priok),2026-09-07T03:26:13+00:00,-6.135,106.888,42,42,283,283,0.0,False,1.0,FRC3
tt_cibitung_cilincing,Tol Cibitung-Cilincing (Tarumajaya),2026-09-07T03:26:13+00:00,-6.18,107.045,24,33,922,671,0.2727,False,0.954638,FRC4
tt_ciledug,Jl. HOS Cokroaminoto (Ciledug),2026-09-07T03:26:13+00:00,-6.236,106.708,22,28,2902,2280,0.2143,False,0.974834,FRC4
tt_ciputat,Jl. Ir H Juanda (Ciputat),2026-09-07T03:26:13+00:00,-6.308,106.748,28,28,463,463,0.0,False,1.0,FRC4
tt_bintaro,Jl. Bintaro Utama,2026-09-07T03:26:13+00:00,-6.273,106.728,24,29,571,473,0.1724,False,1.0,FRC3
tt_serpong_raya,Jl. Raya Serpong,2026-09-07T03:26:13+00:00,-6.283,106.668,39,39,616,616,0.0,False,1.0,FRC3
tt_pamulang,Jl. Siliwangi (Pamulang),2026-09-07T03:26:13+00:00,-6.343,106.738,32,32,1100,1100,0.0,False,1.0,FRC2
tt_cikupa,Jl. Raya Serang (Cikupa),2026-09-07T03:26:13+00:00,-6.223,106.525,28,38,1437,1058,0.2632,False,1.0,FRC1
tt_daanmogot_km19,Jl. Daan Mogot KM19 (Batuceper),2026-09-07T03:26:13+00:00,-6.162,106.695,31,41,1030,779,0.2439,False,1.0,FRC1
tt_serpong_toll,Tol Jakarta-Serpong (Pondok Ranji),2026-09-07T03:26:13+00:00,-6.276,106.715,17,23,237,175,0.2609,False,0.96051,FRC4
tt_cinere,Jl. Cinere Raya,2026-09-07T03:26:13+00:00,-6.335,106.784,26,26,264,264,0.0,False,1.0,FRC3
tt_sawangan,Jl. Raya Sawangan,2026-09-07T03:26:13+00:00,-6.403,106.776,26,26,985,985,0.0,False,1.0,FRC3
tt_juanda_depok,Jl. Ir H Juanda (Depok),2026-09-07T03:26:13+00:00,-6.381,106.833,33,33,312,312,0.0,False,1.0,FRC2
tt_aksesui,Jl. Akses UI (Kelapa Dua),2026-09-07T03:26:13+00:00,-6.348,106.823,26,26,523,523,0.0,False,1.0,FRC5
tt_citayam,Jl. Raya Citayam,2026-09-07T03:26:13+00:00,-6.435,106.802,24,24,1067,1067,0.0,False,1.0,FRC3
tt_parung,Jl. Raya Parung,2026-09-07T03:26:13+00:00,-6.47,106.733,37,44,1690,1421,0.1591,False,0.999881,FRC1
tt_pajajaran_bgr,Jl. Pajajaran (Bogor),2026-09-07T03:26:13+00:00,-6.601,106.806,40,40,76,76,0.0,False,1.0,FRC1
tt_sholehiskandar,Jl. Sholeh Iskandar (Bogor),2026-09-07T03:26:13+00:00,-6.561,106.783,21,21,103,103,0.0,False,1.0,FRC4
tt_ciawi,Jl. Raya Puncak (Ciawi),2026-09-07T03:26:13+00:00,-6.648,106.848,83,83,29,29,0.0,False,1.0,FRC0
