station_id,name,obs_time_utc,lat,lon,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,confidence,road_closure,frc
tt_bsd,BSD/Serpong,2026-09-11T15:00:00+00:00,-6.3,106.67,34,34,165,165,0.0,1.0,False,FRC3
tt_cawang,Cawang interchange,2026-09-11T15:00:00+00:00,-6.245,106.865,34,42,79,64,0.1905,1.0,False,FRC1
tt_depok,Jl. Margonda (Depok),2026-09-11T15:00:00+00:00,-6.4,106.82,27,31,2042,1778,0.129,0.994934,False,FRC2
tt_gatsu,Jl. Gatot Subroto,2026-09-11T15:00:00+00:00,-6.2349,106.83,45,45,52,52,0.0,1.0,False,FRC3
tt_grogol,Grogol,2026-09-11T15:00:00+00:00,-6.166,106.79,40,40,304,304,0.0,1.0,False,FRC2
tt_kebonjeruk,Tol Kebon Jeruk,2026-09-11T15:00:00+00:00,-6.195,106.77,28,35,1448,1158,0.2,1.0,False,FRC2
tt_kelapagading,Kelapa Gading,2026-09-11T15:00:00+00:00,-6.158,106.906,27,29,1137,1059,0.069,1.0,False,FRC3
tt_kuningan,Jl. HR Rasuna Said,2026-09-11T15:00:00+00:00,-6.221,106.83,21,21,208,208,0.0,1.0,False,FRC4
tt_sudirman,Jl. Sudirman (HI),2026-09-11T15:00:00+00:00,-6.2088,106.8228,28,38,512,377,0.2632,1.0,False,FRC1
tt_tangerang,Tol Jakarta-Merak,2026-09-11T15:00:00+00:00,-6.2,106.63,48,48,193,193,0.0,1.0,False,FRC1
tt_tbsimatupang,TB Simatupang,2026-09-11T15:00:00+00:00,-6.293,106.82,72,72,343,343,0.0,1.0,False,FRC0
tt_thamrin,Jl. MH Thamrin,2026-09-11T15:00:00+00:00,-6.188,106.823,17,23,338,249,0.2609,1.0,False,FRC1
tt_bekasi,Tol Jakarta-Cikampek,2026-09-11T18:00:00+00:00,-6.24,106.975,18,18,1072,1072,0.0,1,False,FRC4
tt_bogor,Tol Jagorawi (Bogor),2026-09-11T18:00:00+00:00,-6.5,106.84,45,45,658,658,0.0,1,False,FRC1
tt_bsd,BSD/Serpong,2026-09-11T18:00:00+00:00,-6.3,106.67,34,34,165,165,0.0,1,False,FRC3
tt_cawang,Cawang interchange,2026-09-11T18:00:00+00:00,-6.245,106.865,43,43,62,62,0.0,1,False,FRC1
tt_depok,Jl. Margonda (Depok),2026-09-11T18:00:00+00:00,-6.4,106.82,31,31,1778,1778,0.0,1,False,FRC2
tt_gatsu,Jl. Gatot Subroto,2026-09-11T18:00:00+00:00,-6.2349,106.83,45,45,52,52,0.0,1,False,FRC3
tt_grogol,Grogol,2026-09-11T18:00:00+00:00,-6.166,106.79,40,40,304,304,0.0,1,False,FRC2
tt_kebonjeruk,Tol Kebon Jeruk,2026-09-11T18:00:00+00:00,-6.195,106.77,35,35,1158,1158,0.0,1,False,FRC2
tt_kelapagading,Kelapa Gading,2026-09-11T18:00:00+00:00,-6.158,106.906,29,29,1059,1059,0.0,1,False,FRC3
tt_kuningan,Jl. HR Rasuna Said,2026-09-11T18:00:00+00:00,-6.221,106.83,21,21,208,208,0.0,1,False,FRC4
tt_sudirman,Jl. Sudirman (HI),2026-09-11T18:00:00+00:00,-6.2088,106.8228,39,39,368,368,0.0,1,False,FRC1
tt_tangerang,Tol Jakarta-Merak,2026-09-11T18:00:00+00:00,-6.2,106.63,48,48,193,193,0.0,1,False,FRC1
tt_tbsimatupang,TB Simatupang,2026-09-11T18:00:00+00:00,-6.293,106.82,72,72,343,343,0.0,1,False,FRC0
tt_thamrin,Jl. MH Thamrin,2026-09-11T18:00:00+00:00,-6.188,106.823,22,22,261,261,0.0,1,False,FRC1
tt_bekasi,Tol Jakarta-Cikampek,2026-09-11T21:00:00+00:00,-6.24,106.975,18,18,1072,1072,0.0,1,False,FRC4
tt_bogor,Tol Jagorawi (Bogor),2026-09-11T21:00:00+00:00,-6.5,106.84,45,45,658,658,0.0,1,False,FRC1
tt_bsd,BSD/Serpong,2026-09-11T21:00:00+00:00,-6.3,106.67,34,34,165,165,0.0,1,False,FRC3
tt_cawang,Cawang interchange,2026-09-11T21:00:00+00:00,-6.245,106.865,43,43,62,62,0.0,1,False,FRC1
tt_depok,Jl. Margonda (Depok),2026-09-11T21:00:00+00:00,-6.4,106.82,31,31,1778,1778,0.0,1,False,FRC2
tt_gatsu,Jl. Gatot Subroto,2026-09-11T21:00:00+00:00,-6.2349,106.83,45,45,52,52,0.0,1,False,FRC3
tt_grogol,Grogol,2026-09-11T21:00:00+00:00,-6.166,106.79,40,40,304,304,0.0,1,False,FRC2
tt_kebonjeruk,Tol Kebon Jeruk,2026-09-11T21:00:00+00:00,-6.195,106.77,35,35,1158,1158,0.0,1,False,FRC2
tt_kelapagading,Kelapa Gading,2026-09-11T21:00:00+00:00,-6.158,106.906,29,29,1059,1059,0.0,1,False,FRC3
tt_kuningan,Jl. HR Rasuna Said,2026-09-11T21:00:00+00:00,-6.221,106.83,21,21,208,208,0.0,1,False,FRC4
tt_sudirman,Jl. Sudirman (HI),2026-09-11T21:00:00+00:00,-6.2088,106.8228,39,39,368,368,0.0,1,False,FRC1
tt_tangerang,Tol Jakarta-Merak,2026-09-11T21:00:00+00:00,-6.2,106.63,48,48,193,193,0.0,1,False,FRC1
tt_tbsimatupang,TB Simatupang,2026-09-11T21:00:00+00:00,-6.293,106.82,72,72,343,343,0.0,1,False,FRC0
tt_thamrin,Jl. MH Thamrin,2026-09-11T21:00:00+00:00,-6.188,106.823,22,22,261,261,0.0,1,False,FRC1
tt_bekasi,Tol Jakarta-Cikampek,2026-09-11T23:00:00+00:00,-6.24,106.975,18,18,1072,1072,0.0,1,False,FRC4
tt_bogor,Tol Jagorawi (Bogor),2026-09-11T23:00:00+00:00,-6.5,106.84,45,45,658,658,0.0,1,False,FRC1
tt_bsd,BSD/Serpong,2026-09-11T23:00:00+00:00,-6.3,106.67,34,34,165,165,0.0,1,False,FRC3
tt_cawang,Cawang interchange,2026-09-11T23:00:00+00:00,-6.245,106.865,43,43,62,62,0.0,1,False,FRC1
tt_depok,Jl. Margonda (Depok),2026-09-11T23:00:00+00:00,-6.4,106.82,31,31,1778,1778,0.0,1,False,FRC2
tt_gatsu,Jl. Gatot Subroto,2026-09-11T23:00:00+00:00,-6.2349,106.83,45,45,52,52,0.0,1,False,FRC3
tt_grogol,Grogol,2026-09-11T23:00:00+00:00,-6.166,106.79,40,40,304,304,0.0,1,False,FRC2
tt_kebonjeruk,Tol Kebon Jeruk,2026-09-11T23:00:00+00:00,-6.195,106.77,35,35,1158,1158,0.0,1,False,FRC2
tt_kelapagading,Kelapa Gading,2026-09-11T23:00:00+00:00,-6.158,106.906,29,29,1059,1059,0.0,1,False,FRC3
tt_kuningan,Jl. HR Rasuna Said,2026-09-11T23:00:00+00:00,-6.221,106.83,21,21,208,208,0.0,1,False,FRC4
tt_sudirman,Jl. Sudirman (HI),2026-09-11T23:00:00+00:00,-6.2088,106.8228,39,39,368,368,0.0,1,False,FRC1
tt_tangerang,Tol Jakarta-Merak,2026-09-11T23:00:00+00:00,-6.2,106.63,48,48,193,193,0.0,1,False,FRC1
tt_tbsimatupang,TB Simatupang,2026-09-11T23:00:00+00:00,-6.293,106.82,72,72,343,343,0.0,1,False,FRC0
tt_thamrin,Jl. MH Thamrin,2026-09-11T23:00:00+00:00,-6.188,106.823,22,22,261,261,0.0,1,False,FRC1
tt_bekasi,Tol Jakarta-Cikampek,2026-09-12T01:00:00+00:00,-6.24,106.975,18,18,1072,1072,0.0,1.0,False,FRC4
tt_bogor,Tol Jagorawi (Bogor),2026-09-12T01:00:00+00:00,-6.5,106.84,39,45,759,658,0.1333,1.0,False,FRC1
tt_bsd,BSD/Serpong,2026-09-12T01:00:00+00:00,-6.3,106.67,34,34,165,165,0.0,1.0,False,FRC3
tt_cawang,Cawang interchange,2026-09-12T01:00:00+00:00,-6.245,106.865,43,43,62,62,0.0,1.0,False,FRC1
tt_depok,Jl. Margonda (Depok),2026-09-12T01:00:00+00:00,-6.4,106.82,25,32,2205,1722,0.2188,0.976412,False,FRC2
tt_gatsu,Jl. Gatot Subroto,2026-09-12T01:00:00+00:00,-6.2349,106.83,45,45,52,52,0.0,1.0,False,FRC3
tt_grogol,Grogol,2026-09-12T01:00:00+00:00,-6.166,106.79,40,40,304,304,0.0,1.0,False,FRC2
tt_kebonjeruk,Tol Kebon Jeruk,2026-09-12T01:00:00+00:00,-6.195,106.77,29,35,1398,1158,0.1714,1.0,False,FRC2
tt_kelapagading,Kelapa Gading,2026-09-12T01:00:00+00:00,-6.158,106.906,27,29,1137,1059,0.069,1.0,False,FRC3
tt_kuningan,Jl. HR Rasuna Said,2026-09-12T01:00:00+00:00,-6.221,106.83,17,20,256,218,0.15,0.984981,False,FRC4
tt_sudirman,Jl. Sudirman (HI),2026-09-12T01:00:00+00:00,-6.2088,106.8228,39,39,368,368,0.0,1.0,False,FRC1
tt_tangerang,Tol Jakarta-Merak,2026-09-12T01:00:00+00:00,-6.2,106.63,48,48,193,193,0.0,1.0,False,FRC1
tt_tbsimatupang,TB Simatupang,2026-09-12T01:00:00+00:00,-6.293,106.82,72,72,343,343,0.0,1.0,False,FRC0
tt_thamrin,Jl. MH Thamrin,2026-09-12T01:00:00+00:00,-6.188,106.823,22,22,261,261,0.0,1.0,False,FRC1
tt_bekasi,Tol Jakarta-Cikampek,2026-09-12T06:00:00+00:00,-6.24,106.975,18,18,1072,1072,0.0,1.0,False,FRC4
tt_bogor,Tol Jagorawi (Bogor),2026-09-12T06:00:00+00:00,-6.5,106.84,35,45,846,658,0.2222,1.0,False,FRC1
tt_bsd,BSD/Serpong,2026-09-12T06:00:00+00:00,-6.3,106.67,26,34,216,165,0.2353,1.0,False,FRC3
tt_cawang,Cawang interchange,2026-09-12T06:00:00+00:00,-6.245,106.865,21,41,128,65,0.4878,1.0,False,FRC1
tt_depok,Jl. Margonda (Depok),2026-09-12T06:00:00+00:00,-6.4,106.82,25,31,2205,1778,0.1935,0.983444,False,FRC2
tt_gatsu,Jl. Gatot Subroto,2026-09-12T06:00:00+00:00,-6.2349,106.83,45,45,52,52,0.0,1.0,False,FRC3
tt_grogol,Grogol,2026-09-12T06:00:00+00:00,-6.166,106.79,31,40,393,304,0.225,1.0,False,FRC2
tt_kebonjeruk,Tol Kebon Jeruk,2026-09-12T06:00:00+00:00,-6.195,106.77,23,36,1763,1126,0.3611,1.0,False,FRC2
tt_kelapagading,Kelapa Gading,2026-09-12T06:00:00+00:00,-6.158,106.906,20,29,1536,1059,0.3103,1.0,False,FRC3
tt_kuningan,Jl. HR Rasuna Said,2026-09-12T06:00:00+00:00,-6.221,106.83,16,20,273,218,0.2,0.99,False,FRC4
tt_sudirman,Jl. Sudirman (HI),2026-09-12T06:00:00+00:00,-6.2088,106.8228,28,39,512,368,0.2821,1.0,False,FRC1
tt_tangerang,Tol Jakarta-Merak,2026-09-12T06:00:00+00:00,-6.2,106.63,33,48,281,193,0.3125,1.0,False,FRC1
tt_tbsimatupang,TB Simatupang,2026-09-12T06:00:00+00:00,-6.293,106.82,55,72,449,343,0.2361,1.0,False,FRC0
tt_thamrin,Jl. MH Thamrin,2026-09-12T06:00:00+00:00,-6.188,106.823,17,22,338,261,0.2273,1.0,False,FRC1
