model,horizon,MAE,RMSE,evaluated_points
Fixed ST-GNN,1,4.09954309463501,6.752048322929553,672
Fixed ST-GNN,3,5.356815338134766,8.027456374666135,672
Fixed ST-GNN,6,6.00745153427124,8.5680239046335,672
