loss,val_loss,learning_rate
1.0601942539215088,1.0042356252670288,0.0010000000474974513
0.7767349481582642,0.6887984275817871,0.0010000000474974513
0.5997591018676758,0.46516144275665283,0.0010000000474974513
0.5097177624702454,0.3655069172382355,0.0010000000474974513
0.48365318775177,0.34451085329055786,0.0010000000474974513
0.46834176778793335,0.3415452539920807,0.0010000000474974513
0.4537758529186249,0.3335648477077484,0.0010000000474974513
0.448932021856308,0.3257791996002197,0.0010000000474974513
0.43527358770370483,0.317319393157959,0.0010000000474974513
0.42457592487335205,0.30642470717430115,0.0010000000474974513
0.4110513925552368,0.30253082513809204,0.0010000000474974513
0.4011956453323364,0.29334840178489685,0.0010000000474974513
0.38261717557907104,0.2821310758590698,0.0010000000474974513
0.35458290576934814,0.2803213596343994,0.0010000000474974513
0.32420843839645386,0.2949150800704956,0.0010000000474974513
0.30271366238594055,0.2876048982143402,0.0010000000474974513
0.2921549677848816,0.2774575650691986,0.0010000000474974513
0.28397729992866516,0.2800055146217346,0.0010000000474974513
0.2772938311100006,0.28654199838638306,0.0010000000474974513
0.27194181084632874,0.3015666902065277,0.0010000000474974513
0.2700369656085968,0.3069975674152374,0.0010000000474974513
0.2678631544113159,0.30045202374458313,0.0010000000474974513
0.2657609283924103,0.33279794454574585,0.0005000000237487257
0.2566150724887848,0.30927491188049316,0.0005000000237487257
0.2584117352962494,0.3279089033603668,0.0005000000237487257
0.25734227895736694,0.32019180059432983,0.0005000000237487257
0.257226824760437,0.3225741684436798,0.0005000000237487257
