loss,val_loss,learning_rate
0.8547409176826477,0.7788626551628113,0.0010000000474974513
0.6279451251029968,0.4994875192642212,0.0010000000474974513
0.5166634917259216,0.38208699226379395,0.0010000000474974513
0.4885421097278595,0.35740041732788086,0.0010000000474974513
0.4626633822917938,0.3548806607723236,0.0010000000474974513
0.443073570728302,0.33722376823425293,0.0010000000474974513
0.4409256875514984,0.3238849639892578,0.0010000000474974513
0.4317047894001007,0.3214625120162964,0.0010000000474974513
0.41803058981895447,0.31403452157974243,0.0010000000474974513
0.4107290506362915,0.31438156962394714,0.0010000000474974513
0.40676504373550415,0.311091810464859,0.0010000000474974513
0.4026460349559784,0.31222060322761536,0.0010000000474974513
0.39887213706970215,0.3081088066101074,0.0010000000474974513
0.3887036144733429,0.30775099992752075,0.0010000000474974513
0.38521113991737366,0.3079659044742584,0.0010000000474974513
0.38121098279953003,0.3098177909851074,0.0010000000474974513
0.37762075662612915,0.30897024273872375,0.0010000000474974513
0.37486428022384644,0.31134116649627686,0.0010000000474974513
0.36910754442214966,0.3072211742401123,0.0010000000474974513
0.3615516424179077,0.3116627335548401,0.0010000000474974513
0.35869720578193665,0.3147803544998169,0.0010000000474974513
0.35813117027282715,0.3188680112361908,0.0010000000474974513
0.3524070680141449,0.3172937333583832,0.0010000000474974513
0.346436083316803,0.3227591812610626,0.0010000000474974513
0.3427344858646393,0.31986933946609497,0.0005000000237487257
0.34043750166893005,0.32668718695640564,0.0005000000237487257
0.34442949295043945,0.32322534918785095,0.0005000000237487257
0.3403298258781433,0.33277422189712524,0.0005000000237487257
0.33772334456443787,0.33255860209465027,0.0005000000237487257
