model_fixed,seed,horizon,MAE_fixed,RMSE_fixed,model_adaptive,MAE_adaptive,RMSE_adaptive,MAE_improvement_pct,adaptive_wins
fixed,123,1,4.2452473640441895,6.815628313416205,adaptive,4.229486465454102,6.932824561207674,0.37125984044127497,True
fixed,123,3,5.33394718170166,7.998568883682363,adaptive,5.45451545715332,8.10400918711135,-2.2603950010092886,False
fixed,123,6,6.201991558074951,8.789140190628851,adaptive,6.513001918792725,9.025186687873918,-5.0146853281804304,False
fixed,2026,1,4.210273742675781,6.798563008781708,adaptive,3.984431743621826,6.594717813489124,5.364069247203492,True
fixed,2026,3,5.221225738525391,7.910932639367458,adaptive,4.958831787109375,7.68890566496345,5.025523977634464,True
fixed,2026,6,6.080498695373535,8.600070917591184,adaptive,5.644552230834961,8.31687273013585,7.169584048595759,True
fixed,42,1,4.2953996658325195,6.853299659072337,adaptive,4.044153213500977,6.450462253773253,5.849198488561303,True
fixed,42,3,5.458243370056152,8.097811707082313,adaptive,4.615439414978027,7.111645681765825,15.440937641251686,True
fixed,42,6,6.327362060546875,8.903854958256888,adaptive,4.759512901306152,6.92481949223227,24.778875370776763,True
fixed,456,1,4.178794860839844,6.776605518601206,adaptive,4.125479698181152,6.7521728974212385,1.2758502016530255,True
fixed,456,3,5.287030220031738,7.954903094686296,adaptive,5.2896857261657715,7.878791017687335,-0.0502268007467009,False
fixed,456,6,6.283066749572754,8.892903925848687,adaptive,6.3575568199157715,8.65036835520107,-1.185568661165073,False
fixed,789,1,4.09954309463501,6.752048322929553,adaptive,4.536604881286621,6.948820757820452,-10.661231668075043,False
fixed,789,3,5.356815338134766,8.027456374666135,adaptive,5.433190822601318,8.094487572721414,-1.4257628767383748,False
fixed,789,6,6.00745153427124,8.5680239046335,adaptive,5.9925537109375,8.535349325619402,0.2479890723837105,True
