model,horizon,MAE,RMSE,evaluated_points
No-Graph ST-GNN,1,4.152981281280518,6.8199556482388735,672
No-Graph ST-GNN,3,5.4794793128967285,8.213088721971806,672
No-Graph ST-GNN,6,6.648047924041748,9.08424956107496,672
