loss,val_loss
0.8529530763626099,0.7354035377502441
0.5442474484443665,0.3847281038761139
0.366015762090683,0.2782406508922577
0.3046211302280426,0.26250097155570984
0.26466476917266846,0.2531781792640686
0.2422976940870285,0.25251877307891846
0.22291158139705658,0.24887427687644958
0.2132635861635208,0.23958778381347656
0.20206579566001892,0.23198352754116058
0.1976272314786911,0.23697322607040405
0.1900113821029663,0.23532505333423615
0.18648314476013184,0.2261984944343567
0.18577858805656433,0.22924187779426575
0.18061070144176483,0.23127034306526184
0.17561222612857819,0.23001538217067719
0.17104333639144897,0.23027290403842926
0.16842667758464813,0.23165810108184814
0.16397446393966675,0.23189370334148407
0.16194672882556915,0.22942650318145752
0.15898479521274567,0.2326759397983551
