seed,corridor,horizon,fixed_mae,adaptive_mae,improvement_pct
42,tt_bekasi,1,1.5879964791666668,2.2294670104166667,-40.39495928773246
42,tt_bekasi,3,1.860705020833333,2.70162975,-45.19387650117973
42,tt_bekasi,6,2.44607325,3.3803786770833333,-38.196134440509226
42,tt_bogor,1,3.631755604166667,3.2474398124999997,10.58209399403822
42,tt_bogor,3,4.346684958333333,3.064915125,29.48844569183609
42,tt_bogor,6,5.2326611875,3.3674227500000007,35.64607702779914
42,tt_bsd,1,2.6312646041666667,2.1290587291666663,19.086103092967015
42,tt_bsd,3,2.84918675,2.2459142083333337,21.17349947898874
42,tt_bsd,6,3.5252937083333333,2.530211770833333,28.226922912770547
42,tt_cawang,1,6.405295250000001,5.959767270833333,6.955619714277307
42,tt_cawang,3,7.950106604166667,6.9390446875,12.717589423728823
42,tt_cawang,6,9.3813001875,6.948643479166666,25.930912130652196
42,tt_depok,1,2.3036616041666664,2.2465238333333333,2.4803022601057045
42,tt_depok,3,2.8143603333333336,2.3209675416666666,17.531258731261737
42,tt_depok,6,3.1183252083333333,2.4348078958333335,21.91937231797971
42,tt_gatsu,1,7.392584479166666,7.415955083333333,-0.3161357740656102
42,tt_gatsu,3,8.9444368125,8.1415399375,8.976494460533708
42,tt_gatsu,6,8.949003333333334,7.657035291666666,14.437004809846615
42,tt_grogol,1,2.5944851041666666,2.4462964791666666,5.711677618114415
42,tt_grogol,3,3.2808883333333334,2.4309954166666663,25.90435364812275
42,tt_grogol,6,4.036067083333333,2.8713873333333333,28.856798609950424
42,tt_kebonjeruk,1,3.1167463958333332,2.4689852291666665,20.783249080920907
42,tt_kebonjeruk,3,4.798633333333333,3.491093229166667,27.248176998312008
42,tt_kebonjeruk,6,6.384355208333333,4.2166633125,33.95318438742101
42,tt_kelapagading,1,2.8998728541666665,2.6644249375,8.11924965359651
42,tt_kelapagading,3,4.214040416666666,3.2411441874999998,23.087017042333777
42,tt_kelapagading,6,6.388615395833334,4.321158041666666,32.361587387387054
42,tt_kuningan,1,2.418043208333333,2.425373833333333,-0.30316352390793455
42,tt_kuningan,3,2.874044,2.5751783749999997,10.398783908666685
42,tt_kuningan,6,2.8315483124999994,2.54679528125,10.056442618087921
42,tt_sudirman,1,4.916711020833334,4.2403544375,13.75628098677026
42,tt_sudirman,3,7.088214291666667,5.0820506666666665,28.302807201505846
42,tt_sudirman,6,9.397412125,5.4345221666666665,42.170013463502684
42,tt_tangerang,1,4.788053520833333,5.028148895833333,-5.014467235074116
42,tt_tangerang,3,5.743531520833333,5.28000825,8.0703530424097
42,tt_tangerang,6,5.5832474375,4.9045375,12.15618589535241
42,tt_tbsimatupang,1,12.719158541666665,11.594817,8.839747833816494
42,tt_tbsimatupang,3,16.34697475,14.350751958333333,12.211573224988726
42,tt_tbsimatupang,6,16.7830790625,12.690036874999999,24.387909824279312
42,tt_thamrin,1,2.729970010416667,2.5215300625,7.635246802028174
42,tt_thamrin,3,3.3035993125,2.7509197291666663,16.729619153331676
42,tt_thamrin,6,4.526083479166666,3.329583135416667,26.435666714001844
123,tt_bekasi,1,1.4981437708333332,1.56822109375,-4.677610005192414
123,tt_bekasi,3,2.0837566666666665,1.6029449375,23.07427430746072
123,tt_bekasi,6,2.278978875,2.2869082916666668,-0.3479372605710002
123,tt_bogor,1,3.6165855,3.2749778333333333,9.445585253457068
123,tt_bogor,3,4.397513479166666,4.1037784791666665,6.679570202378617
123,tt_bogor,6,4.653262791666667,5.245698999999999,-12.731630145503523
123,tt_bsd,1,2.9654864166666663,2.64676125,10.74782082545929
123,tt_bsd,3,2.8164401874999996,2.3130140833333335,17.874553359982055
123,tt_bsd,6,3.7143368750000003,2.3752733958333336,36.05121248369984
