model,horizon,MAE,RMSE,evaluated_points
Adaptive ST-GNN,1,4.229486465454102,6.932824561207674,672
Adaptive ST-GNN,3,5.45451545715332,8.10400918711135,672
Adaptive ST-GNN,6,6.513001918792725,9.025186687873918,672
