model,horizon,MAE,RMSE,evaluated_points
Adaptive ST-GNN,1,4.205310344696045,6.6365994807006645,672
Adaptive ST-GNN,3,5.385650634765625,8.031943918374315,672
Adaptive ST-GNN,6,6.213054656982422,8.505374331391291,672
