source,target,adaptive_weight,fixed_edge
tt_kuningan,tt_thamrin,0.05862810090184212,1
tt_sudirman,tt_bekasi,0.11278529465198517,0
tt_sudirman,tt_bogor,0.0,0
tt_sudirman,tt_bsd,0.0345584899187088,0
tt_sudirman,tt_cawang,0.1317988932132721,1
tt_sudirman,tt_depok,0.09571386873722076,0
tt_sudirman,tt_gatsu,0.06103259697556496,1
tt_sudirman,tt_grogol,0.0,1
tt_sudirman,tt_kebonjeruk,0.038593534380197525,1
tt_sudirman,tt_kelapagading,0.0,1
tt_sudirman,tt_kuningan,0.06427361071109772,1
tt_sudirman,tt_tangerang,9.081709322344977e-06,0
tt_sudirman,tt_tbsimatupang,0.0,0
tt_sudirman,tt_thamrin,0.09124448895454407,1
tt_tangerang,tt_bekasi,0.07602684199810028,0
tt_tangerang,tt_bogor,0.0,0
tt_tangerang,tt_bsd,0.0,1
tt_tangerang,tt_cawang,0.0,0
tt_tangerang,tt_depok,0.0,0
tt_tangerang,tt_gatsu,0.06429887562990189,0
tt_tangerang,tt_grogol,0.0,1
tt_tangerang,tt_kebonjeruk,0.0,1
tt_tangerang,tt_kelapagading,0.052281320095062256,0
tt_tangerang,tt_kuningan,0.0,0
tt_tangerang,tt_sudirman,9.081709322344977e-06,0
tt_tangerang,tt_tbsimatupang,0.1443673074245453,0
tt_tangerang,tt_thamrin,0.0,0
tt_tbsimatupang,tt_bekasi,0.0,0
tt_tbsimatupang,tt_bogor,0.0,1
tt_tbsimatupang,tt_bsd,0.0,1
tt_tbsimatupang,tt_cawang,0.0,1
tt_tbsimatupang,tt_depok,0.0,1
tt_tbsimatupang,tt_gatsu,0.0,1
tt_tbsimatupang,tt_grogol,0.0,0
tt_tbsimatupang,tt_kebonjeruk,0.0,0
tt_tbsimatupang,tt_kelapagading,0.0,0
tt_tbsimatupang,tt_kuningan,0.0,1
tt_tbsimatupang,tt_sudirman,0.0,0
tt_tbsimatupang,tt_tangerang,0.14436732232570648,0
tt_tbsimatupang,tt_thamrin,0.0,0
tt_thamrin,tt_bekasi,0.06394549459218979,0
tt_thamrin,tt_bogor,0.0,0
tt_thamrin,tt_bsd,0.09526824951171875,0
tt_thamrin,tt_cawang,0.09987152367830276,0
tt_thamrin,tt_depok,0.10435660928487778,0
tt_thamrin,tt_gatsu,0.0441611148416996,0
tt_thamrin,tt_grogol,0.07055138796567917,1
tt_thamrin,tt_kebonjeruk,0.09818445891141891,1
tt_thamrin,tt_kelapagading,0.0,1
tt_thamrin,tt_kuningan,0.05862810090184212,1
tt_thamrin,tt_sudirman,0.09124448150396347,1
tt_thamrin,tt_tangerang,0.0,0
tt_thamrin,tt_tbsimatupang,0.0,0
