model,horizon,MAE_mean,MAE_std,RMSE_mean,RMSE_std
adaptive,1,4.184031200408936,0.21749049079915464,6.735799656742349,0.21551473587860676
adaptive,3,5.150332641601563,0.35872641357029295,7.775567824849875,0.4088219366667098
adaptive,6,5.853435516357422,0.698000521969236,8.290519318212501,0.8054501416903659
fixed,1,4.205851745605469,0.07352551106865661,6.799228964560202,0.038506023544258264
fixed,3,5.331452369689941,0.08781898944321942,7.997934539896913,0.07118361050447496
fixed,6,6.1800741195678714,0.13462486356710224,8.750798779391822,0.1590720540508776
