source,target,weight
tt_thamrin,tt_bsd,0.02381894923746586
tt_thamrin,tt_bogor,0.02381894923746586
tt_thamrin,tt_tangerang,0.02381894923746586
tt_thamrin,tt_cawang,0.02381894923746586
tt_thamrin,tt_tbsimatupang,0.02381894923746586
tt_tbsimatupang,tt_bogor,0.022791890427470207
tt_bekasi,tt_depok,0.022754965350031853
tt_tbsimatupang,tt_thamrin,0.022376637905836105
tt_tbsimatupang,tt_cawang,0.022376637905836105
tt_tbsimatupang,tt_depok,0.022376637905836105
tt_tbsimatupang,tt_gatsu,0.022376637905836105
tt_tbsimatupang,tt_grogol,0.022376637905836105
tt_tbsimatupang,tt_kebonjeruk,0.022376637905836105
tt_tbsimatupang,tt_kelapagading,0.022376637905836105
tt_tbsimatupang,tt_kuningan,0.022376637905836105
tt_tbsimatupang,tt_sudirman,0.022376637905836105
tt_tbsimatupang,tt_bsd,0.022376637905836105
tt_tbsimatupang,tt_bekasi,0.022376637905836105
tt_kuningan,tt_depok,0.022086214274168015
tt_kuningan,tt_sudirman,0.019882764667272568
tt_bogor,tt_kebonjeruk,0.01933511346578598
tt_bekasi,tt_tbsimatupang,0.0183958001434803
tt_bekasi,tt_tangerang,0.0183958001434803
tt_bekasi,tt_sudirman,0.0183958001434803
tt_bekasi,tt_grogol,0.0183958001434803
tt_bekasi,tt_gatsu,0.0183958001434803
tt_bekasi,tt_cawang,0.0183958001434803
tt_bekasi,tt_bogor,0.0183958001434803
tt_bekasi,tt_bsd,0.0183958001434803
tt_kuningan,tt_tbsimatupang,0.017675599083304405
tt_kuningan,tt_tangerang,0.017675599083304405
tt_kuningan,tt_grogol,0.017675599083304405
tt_kuningan,tt_gatsu,0.017675599083304405
tt_kuningan,tt_cawang,0.017675599083304405
tt_kuningan,tt_bsd,0.017675599083304405
tt_kuningan,tt_bogor,0.017675599083304405
tt_bogor,tt_tbsimatupang,0.016578275710344315
tt_bogor,tt_kelapagading,0.016276231035590172
tt_bogor,tt_bekasi,0.016276231035590172
tt_bogor,tt_depok,0.016276231035590172
tt_bogor,tt_gatsu,0.016276231035590172
