model,horizon,MAE,RMSE,evaluated_points
Fixed ST-GNN,1,4.210273742675781,6.798563008781708,672
Fixed ST-GNN,3,5.221225738525391,7.910932639367458,672
Fixed ST-GNN,6,6.080498695373535,8.600070917591184,672
