model,horizon,MAE,RMSE,evaluated_points
Fixed ST-GNN,1,4.178794860839844,6.776605518601206,672
Fixed ST-GNN,3,5.287030220031738,7.954903094686296,672
Fixed ST-GNN,6,6.283066749572754,8.892903925848687,672
