model,horizon,MAE,RMSE,evaluated_points
Fixed ST-GNN,1,4.2199788093566895,6.826383111002036,672
Fixed ST-GNN,3,5.609620571136475,8.262776509562185,672
Fixed ST-GNN,6,6.727924823760986,9.158182923108983,672
