corridor,horizon,fixed_mae_mean,fixed_mae_std,adaptive_mae_mean,adaptive_mae_std,improvement_mean_pct,winner
tt_bekasi,1,1.51065995625,0.1604619122494585,1.7472777520833334,0.3810900849501209,-18.002256132972242,Fixed
tt_bekasi,3,1.7978493416666663,0.31448154239864223,2.0781513791666666,0.5232930767051623,-22.489263140744324,Fixed
tt_bekasi,6,2.1453280749999997,0.5145189247878038,3.01090356875,0.5650870458559973,-55.11520437412126,Fixed
tt_bogor,1,3.683560375,0.05457153326341344,3.4157763166666664,0.1956280048514373,7.300492467263247,Adaptive
tt_bogor,3,4.388964104166666,0.049659763927485126,4.1140509625,0.6106338381184617,6.322346022139326,Adaptive
tt_bogor,6,5.122280516666667,0.27787882029349303,5.1002866375,1.0815981320297965,0.012905948370523035,Adaptive
tt_bsd,1,2.6521065333333333,0.2454790762331169,2.2563900625,0.2321528758480407,14.847993548620087,Adaptive
tt_bsd,3,2.7672191916666664,0.20594255451061622,2.1749160958333333,0.11858763945997591,20.968449935361342,Adaptive
tt_bsd,6,3.565861141666667,0.14483821459876497,2.3313186166666666,0.2110132124479089,34.53971774444078,Adaptive
tt_cawang,1,6.304003687500001,0.1358819001983525,6.763614199999999,0.5387071058345431,-7.335027177927135,Fixed
tt_cawang,3,7.846270570833333,0.23650269035288862,8.224752945833334,0.7605970105014357,-4.890836207384476,Fixed
tt_cawang,6,9.294985008333333,0.3392390273720865,9.143035225,1.3526635837886198,1.629245810188857,Adaptive
tt_depok,1,2.3721578666666665,0.14643680662514166,2.2471607375,0.2605395697824588,4.417922402978172,Adaptive
tt_depok,3,2.693900504166667,0.17497900259387722,2.492563054166667,0.19673901533361157,7.390940541522309,Adaptive
tt_depok,6,2.9946993583333334,0.17242130861061855,2.6452168791666666,0.299874870509784,11.553316012027837,Adaptive
tt_gatsu,1,7.360354079166666,0.06989507457023762,7.373495129166666,0.07533574889290955,-0.19162206090376133,Fixed
tt_gatsu,3,8.599242270833333,0.23574644653488355,8.444731408333334,0.30262215013587823,1.7043347598999385,Adaptive
tt_gatsu,6,8.203531520833334,0.498187370888487,8.620958633333334,0.6987021789349315,-5.610456047466808,Fixed
tt_grogol,1,2.4752375625,0.09903890803973543,2.7261057041666663,0.22722215826470776,-10.374161535666122,Fixed
tt_grogol,3,3.346220445833333,0.17713779211254202,3.4813907166666667,0.6775723388965779,-3.993126958610999,Fixed
tt_grogol,6,4.22728485,0.11777535270007573,4.2648816541666665,1.0250661313546336,-0.4667982304072417,Fixed
tt_kebonjeruk,1,2.8352910083333334,0.16716530639937952,2.6875099000000002,0.4419272745235296,4.953776802159519,Adaptive
tt_kebonjeruk,3,4.5695037,0.17901935453165788,4.240379845833333,0.7521550310791547,6.987988980686789,Adaptive
tt_kebonjeruk,6,6.458802575,0.1346973699806769,5.590654641666666,1.3103183938587306,13.54800039821887,Adaptive
tt_kelapagading,1,2.6362771041666666,0.34418313190518085,2.258811633333333,0.41646295915650533,12.069268507443594,Adaptive
tt_kelapagading,3,3.8381448791666664,0.26937990499911746,2.9252998916666666,0.2362670774879155,23.737508649224704,Adaptive
tt_kelapagading,6,5.840247454166667,0.5912399729360109,3.6436661624999997,0.7270651795461233,37.93980651008146,Adaptive
tt_kuningan,1,2.2096980770833334,0.1300821322321522,2.4320801249999997,0.34662737617916745,-10.271073421607635,Fixed
tt_kuningan,3,2.5316059458333333,0.21137557625160125,2.723993458333333,0.28570710874833155,-8.45998392349977,Fixed
tt_kuningan,6,2.5601258583333335,0.21372273956028146,3.1582268520833336,0.6678628812662184,-24.160363360026356,Fixed
tt_sudirman,1,4.713629279166667,0.21957427080988068,4.588724666666667,0.4184765472742254,2.2433004551467315,Adaptive
tt_sudirman,3,6.938092620833333,0.17334866250815867,6.260980008333332,0.7328808242688292,9.656666063973198,Adaptive
tt_sudirman,6,9.2290654,0.29673160948614896,7.772257070833334,1.4238663712626336,15.71859856230943,Adaptive
tt_tangerang,1,4.785660745833334,0.03058349977003389,4.8147626875,0.16722406161397543,-0.6086708534713565,Fixed
tt_tangerang,3,5.851211304166666,0.11094347865416176,5.943747541666666,0.38064647201253726,-1.5463583361198734,Fixed
tt_tangerang,6,5.647345212500001,0.2468323321096897,6.288340991666667,0.7832671388814182,-11.43471433963549,Fixed
tt_tbsimatupang,1,12.643988529166666,0.19328155243371295,12.6097054875,0.8818657230381538,0.2191383020288212,Adaptive
tt_tbsimatupang,3,16.244965141666665,0.23422703757338795,16.081018970833334,1.0454948063396998,0.9821310079971507,Adaptive
tt_tbsimatupang,6,16.863671529166666,0.43390011023562375,16.788676387499997,2.3072647986700288,0.39431257148056,Adaptive
tt_thamrin,1,2.699300904166667,0.05300536375229692,2.6550203624999997,0.16844501561333353,1.5927641437508548,Adaptive
tt_thamrin,3,3.22714385,0.10176761701730615,2.9186810687499998,0.33206622076594006,9.573756157767454,Adaptive
tt_thamrin,6,4.367811308333333,0.2567065464775007,3.5896764104166663,0.7423278062974007,17.89568734965273,Adaptive
