,tt_bekasi,tt_bogor,tt_bsd,tt_cawang,tt_depok,tt_gatsu,tt_grogol,tt_kebonjeruk,tt_kelapagading,tt_kuningan,tt_sudirman,tt_tangerang,tt_tbsimatupang,tt_thamrin
tt_bekasi,0.0,32.53294972538185,34.365424411029,12.171621072276855,24.697755361465283,16.0378464565314,22.043931965358794,23.206747056987805,11.887712972750418,16.16667081675358,17.178074238282814,38.39491161803461,18.117524970130443,17.769388614568793
tt_bogor,32.53294972538185,0.0,29.11117961431813,28.48897772258759,11.336949696424812,29.49848204889808,37.54793918935335,34.78555069799397,38.72187526396919,31.04306108973079,32.435705989659354,40.63720985073592,23.12320752806977,34.74364988702329
tt_bsd,34.365424411029,29.11117961431813,0.0,22.404077097382384,19.960885450093468,19.109004578036405,19.94895493320325,16.077791129704504,30.493426547787358,19.74659364657503,19.700078528618608,11.966266914019801,16.59688603985783,21.002622770391397
tt_cawang,12.171621072276855,28.48897772258759,22.404077097382384,0.0,17.938413000921628,4.028476899454331,12.079000965022663,11.882287721311242,10.683039639228241,4.699955622961223,6.161371536038075,26.45439110677592,7.295653297336788,7.856624332180078
tt_depok,24.697755361465283,11.336949696424812,19.960885450093468,17.938413000921628,0.0,18.391519558727598,26.230036949362603,23.45525577550049,28.538675464563656,19.934553006945432,21.26272209178432,30.586743136280422,11.897857150967805,23.57565623265707
tt_gatsu,16.0378464565314,29.49848204889808,19.109004578036405,4.028476899454331,18.391519558727598,0.0,8.84579573277925,7.979596168516356,11.987574036402508,1.5456094803593516,3.009340454578623,22.446186493870837,6.554296751985459,5.2721364109459845
tt_grogol,22.043931965358794,37.54793918935335,19.94895493320325,12.079000965022663,26.230036949362603,8.84579573277925,0.0,3.9098318850102123,12.854903785135841,7.546832236487438,5.983054056835229,18.087225667733918,14.505889570291057,4.392399104468871
tt_kebonjeruk,23.206747056987805,34.78555069799397,16.077791129704504,11.882287721311242,23.45525577550049,7.979596168516356,3.9098318850102123,0.0,15.587486487139309,7.235280535417591,6.035071378530198,15.486292648543293,12.21850919916928,5.91043203364428
tt_kelapagading,11.887712972750418,38.72187526396919,30.493426547787358,10.683039639228241,28.538675464563656,11.987574036402508,12.854903785135841,15.587486487139309,0.0,10.938922653892439,10.7936827499375,30.86685322209644,17.768247268180346,9.76323313329415
tt_kuningan,16.16667081675358,31.04306108973079,19.74659364657503,4.699955622961223,19.934553006945432,1.5456094803593516,7.546832236487438,7.235280535417591,10.938922653892439,0.0,1.5728185206283527,22.231442040898372,8.081975997612394,3.7501346541270655
tt_sudirman,17.178074238282814,32.435705989659354,19.700078528618608,6.161371536038075,21.26272209178432,3.009340454578623,5.983054056835229,6.035071378530198,10.7936827499375,1.5728185206283527,0.0,21.33526099326409,9.367726824105542,2.312960143552538
tt_tangerang,38.39491161803461,40.63720985073592,11.966266914019801,26.45439110677592,30.586743136280422,22.446186493870837,18.087225667733918,15.486292648543293,30.86685322209644,22.231442040898372,21.33526099326409,0.0,23.409532701572566,21.377024242192206
tt_tbsimatupang,18.117524970130443,23.12320752806977,16.59688603985783,7.295653297336788,11.897857150967805,6.554296751985459,14.505889570291057,12.21850919916928,17.768247268180346,8.081975997612394,9.367726824105542,23.409532701572566,0.0,11.680175534090454
tt_thamrin,17.769388614568793,34.74364988702329,21.002622770391397,7.856624332180078,23.57565623265707,5.2721364109459845,4.392399104468871,5.91043203364428,9.76323313329415,3.7501346541270655,2.312960143552538,21.377024242192206,11.680175534090454,0.0
