model,horizon,MAE,RMSE,evaluated_points
Adaptive ST-GNN,1,3.984431743621826,6.594717813489124,672
Adaptive ST-GNN,3,4.958831787109375,7.68890566496345,672
Adaptive ST-GNN,6,5.644552230834961,8.31687273013585,672
