obs_time_utc,name,city,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence
2026-08-18 04:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-18 05:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-18 07:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-18 09:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-18 10:00:00+00:00,Jl. Raya Citayam,Jabodetabek,19.0,25.0,1348.0,1024.0,0.24,0.0,0.969944
2026-08-18 12:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-18 14:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-18 15:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-18 17:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-18 19:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-18 20:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-18 22:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-19 00:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-19 01:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-19 03:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-19 05:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-19 06:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-19 08:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-19 10:00:00+00:00,Jl. Raya Citayam,Jabodetabek,19.0,24.0,1348.0,1067.0,0.20833333333333337,0.0,0.926964
2026-08-19 11:00:00+00:00,Jl. Raya Citayam,Jabodetabek,20.0,24.0,1280.0,1067.0,0.16666666666666663,0.0,0.98
2026-08-19 13:00:00+00:00,Jl. Raya Citayam,Jabodetabek,20.0,24.0,1280.0,1067.0,0.16666666666666663,0.0,0.989743
2026-08-19 15:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-19 16:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-19 18:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-19 20:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-19 21:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-19 23:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-20 01:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-20 02:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-20 04:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-20 06:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-20 07:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-20 09:00:00+00:00,Jl. Raya Citayam,Jabodetabek,20.0,24.0,1280.0,1067.0,0.16666666666666663,0.0,0.95
2026-08-20 11:00:00+00:00,Jl. Raya Citayam,Jabodetabek,18.0,24.0,1423.0,1067.0,0.25,0.0,0.960839
2026-08-20 12:00:00+00:00,Jl. Raya Citayam,Jabodetabek,19.0,25.0,1348.0,1024.0,0.24,0.0,0.983846
2026-08-20 14:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-20 16:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-20 17:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-20 19:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-20 21:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-20 22:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-21 00:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-21 02:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-21 03:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-21 05:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
2026-08-21 07:00:00+00:00,Jl. Raya Citayam,Jabodetabek,24.0,24.0,1067.0,1067.0,0.0,0.0,1.0
